Line,Env,DTHD,DTMT,GY,Height
GID7631322,Bed5IR,74,113,6.51877106,101
GID7631329,Bed5IR,73,112,6.117290673,106
GID7631331,Bed5IR,72,113,5.825629606,102
GID7631332,Bed5IR,78,114,6.37301493,98
GID7631340,Bed5IR,79,121,6.09020786,101
GID7631346,Bed5IR,67,107,6.32212305,102
GID7631349,Bed5IR,72,114,6.232987856,99
GID7631355,Bed5IR,71,114,6.066215769,102
GID7631370,Bed5IR,72,116,6.654002102,104
GID7631382,Bed5IR,66,109,5.729615089,92
GID7631393,Bed5IR,71,114,6.187114008,109
GID7631398,Bed5IR,80,122,6.908082308,98
GID7631400,Bed5IR,75,124,6.174316635,107
GID7631404,Bed5IR,66,113,5.616514845,108
GID7631415,Bed5IR,69,112,6.733085668,109
GID7631416,Bed5IR,78,116,6.791938705,105
GID7631433,Bed5IR,72,111,6.713368785,99
GID7631434,Bed5IR,73,113,7.007931582,104
GID7631435,Bed5IR,70,110,6.666866702,98
GID7631438,Bed5IR,75,114,6.827949918,103
GID7631439,Bed5IR,76,113,6.310549138,106
GID7631442,Bed5IR,78,122,6.819319132,108
GID7631447,Bed5IR,80,121,6.267544012,109
GID7631465,Bed5IR,72,113,5.965078398,106
GID7631483,Bed5IR,68,111,5.572578533,103
GID7631484,Bed5IR,67,107,5.577489153,102
GID7631486,Bed5IR,66,106,5.529201389,95
GID7631501,Bed5IR,72,114,5.039627456,96
GID7631505,Bed5IR,74,117,6.003894656,102
GID7631512,Bed5IR,67,107,6.180602573,96
GID7631515,Bed5IR,73,114,6.391759233,102
GID7631519,Bed5IR,74,116,6.799191886,100
GID7631531,Bed5IR,75,117,6.405608967,108
GID7631533,Bed5IR,73,112,5.842896557,107
GID7631535,Bed5IR,71,111,6.08247529,102
GID7631539,Bed5IR,72,109,5.772808617,107
GID7631541,Bed5IR,74,109,6.234183687,101
GID7631543,Bed5IR,78,120,6.23470451,106
GID7631544,Bed5IR,72,113,6.848680817,104
GID7631563,Bed5IR,69,113,6.493207097,101
GID7631566,Bed5IR,69,111,6.15779687,98
GID7631568,Bed5IR,70,114,6.28100879,103
GID7631604,Bed5IR,71,114,6.315457533,107
