Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCV00201,2,78.5,151.5,58,327.5,100
ICCV00202,2,70.5,157.5,55.65,255,100
ICCV00301,2,42.5,143.5,54.85,320,97.5
ICCV00302,2,42.5,144,66.15,292.5,97.5
ICCV00303,2,43,149,65.35,327.5,97.5
ICCV00304,2,43,154.5,57.65,320,100
ICCV00305,2,87.5,152,69.15,422.5,70
ICCV00401,2,75,150.5,60.15,332.5,45
ICCV00402,2,83,154,54.5,392.5,35
ICCV01101,2,87.5,151.5,58,457.5,90
ICCV01102,2,87.5,158,61.5,347.5,90
ICCV01103,2,98,158,70.15,520,80
ICCV01104,2,96,147,54.8,315,85
ICCV01301,2,62.5,151.5,54,225,97.5
ICCV01302,2,105.5,152,58,355,80
ICCV01303,2,44.5,155,71.35,382.5,90
ICCV01304,2,47,150.5,64.15,342.5,90
ICCV01305,2,45,151,62.35,340,80
ICCV01306,2,45.5,153,60.65,370,90
ICCV01307,2,44.5,148.5,65.7,317.5,90
ICCV01308,2,54,152,72,500,100
ICCV01309,2,43,155,79.15,355,90
ICCV01310,2,54.5,150.5,81.35,355,100
ICCV01311,2,52,154,72.65,310,100
ICCV03101,2,82,152,55.15,400,90
ICCV03102,2,82.5,152.5,52.3,612.5,75
ICCV03103,2,84,153,58,522.5,80
ICCV03104,2,96.5,154,68,337.5,90
ICCV03105,2,96.5,151.5,67.8,412.5,85
ICCV03106,2,98,148.5,70.2,425,80
ICCV03107,2,81.5,153,62.2,385,95
ICCV03108,2,82.5,156.5,77.8,260,100
ICCV03109,2,72,157.5,53.5,475,70
ICCV03110,2,73,151,56.5,455,75
ICCV03111,2,67,156,53.5,407.5,80
ICCV03112,2,82,155.5,57.8,222.5,100
ICCV03201,2,77,146.5,56.8,275,100
ICCV03202,2,67,148.5,51.5,285,100
ICCV03203,2,65.5,154,52.2,355,80
ICCV03204,2,83,156.5,62.5,277.5,95
ICCV03205,2,82.5,157,57.8,310,100
ICCV03206,2,79.5,157.5,51.5,417.5,90
ICCV03207,2,73,147.5,45.5,292.5,100
ICCV03208,2,64,146.5,53.5,377.5,95
ICCV03209,2,66.5,146.5,51.8,425,95
ICCV03210,2,89.5,147,53.5,875,100
ICCV03211,2,73.5,147,57.8,652.5,75
ICCV03212,2,86.5,148,51.5,337.5,100
ICCV03213,2,74.5,148,53.5,490,90
ICCV03214,2,84,147.5,58.8,507.5,85
ICCV03301,2,44,152,55.5,395,85.5
ICCV03302,2,43.5,149,63.15,437.5,85
ICCV03303,2,44.5,150.5,70.15,395,85
ICCV03304,2,43.5,152,54.5,242.5,100
ICCV03305,2,43.5,152.5,71.8,390,90
ICCV03306,2,42.5,150.5,71.65,472.5,85
ICCV03307,2,42.5,152.5,75.35,320,90
ICCV03308,2,42,152,72.65,400,90
ICCV03309,2,42.5,153.5,72,385,100
ICCV03310,2,44,155.5,73.65,362.5,100
ICCV03311,2,60.5,153,67.35,312.5,100
ICCV03401,2,61.5,154.5,70,390,100
ICCV03402,2,63,154,63,425,100
ICCV03403,2,77.5,155.5,63.35,392.5,80
ICCV03404,2,74.5,155.5,66.65,465,35
ICCV03405,2,51.5,155.5,74.35,392.5,92.5
ICCV03406,2,51.5,155.5,64.65,462.5,100
ICCV03407,2,56.5,155.5,67.15,462.5,90
ICCV03408,2,55,155,62.85,345,100
ICCV03409,2,51,154,66.85,320,100
ICCV03410,2,45,154.5,63.5,412.5,100
ICCV04101,2,39.5,154,52.2,345,90
ICCV04102,2,39.5,150,53.2,490,85
ICCV04103,2,77.5,155.5,63.8,337.5,100
ICCV04104,2,82.5,156.5,59.8,337.5,95
ICCV04105,2,57,157,61.8,492.5,90
ICCV04106,2,62,151,47.5,570,80
ICCV04107,2,74,153,60.2,347.5,100
ICCV04108,2,65,154,52.2,415,90
ICCV04109,2,77.5,155,48.5,362.5,90
ICCV04110,2,78.5,151,49.5,557.5,70
ICCV04111,2,85.5,148.5,59.8,655,70
ICCV04301,2,57,153,68.5,335,90
ICCV04302,2,44,154.5,67.85,455,90
ICCV04303,2,51.5,154.5,64.15,395,85
ICCV04304,2,75.5,156,58.5,522.5,80
ICCV04305,2,75.5,155.5,67.85,597.5,80
ICCV04306,2,61.5,155,66.85,357.5,100
ICCV04307,2,58.5,154.5,66.15,585,80
ICCV04308,2,58.5,153.5,70.85,395,100
ICCV04309,2,79.5,154,63.85,247.5,30
ICCV04310,2,57.5,153.5,65.15,585,75
ICCV04311,2,44.5,153.5,53.5,305,100
ICCV04312,2,57.5,153.5,70.15,387.5,100
ICCV05102,2,87.5,147.5,53.5,510,70
ICCV05103,2,60.5,147,63.8,232.5,95
ICCV05105,2,65.5,147,63.5,547.5,90
ICCV05106,2,55,159,60.5,402.5,100
ICCV05107,2,63,149.5,56.5,202.5,100
ICCV05109,2,61.5,147.5,57.2,557.5,90
ICCV05110,2,62,147.5,51.2,410,85
ICCV05112,2,63.5,152,58.5,535,85
ICCV05113,2,78,148,58.5,207.5,100
ICCV05114,2,78,154.5,52.2,390,95
ICCV05115,2,65.5,155,44.8,245,100
ICCV05116,2,76.5,153.5,53.2,232.5,100
ICCV05301,2,60.5,154.5,50.85,340,90
ICCV05303,2,45.5,156,55.3,287.5,70
ICCV05306,2,52,155,59.5,310,95
ICCV05307,2,52.5,156.5,58.7,287.5,87.5
ICCV05308,2,46,154,57.5,335,90
ICCV05309,2,44.5,151.5,45.7,305,100
ICCV05310,2,45,148.5,57.35,380,95
ICCV05311,2,44.5,156.5,55,310,100
ICCV05312,2,51,154.5,63.15,387.5,100
ICCV05313,2,51,155.5,54.85,212.5,100
ICCV05314,2,51.5,146.5,52,467.5,80
ICCV05315,2,60.5,146.5,61.65,322.5,90
